"","latitude","longitude","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","prec_mean","temp_mean","clouds_mean","ndvi_mean"
"1",45.4939759036145,7.00753768844221,513,694,62,"Sparsely or Non vegetated","Polar Moist",2949,156,-1.37499999999994,41.4483333333333,-0.00592083333333333
"2",44.9718875502008,6.32914572864322,516,725,63,"Sparsely or Non vegetated","Polar Moist",3239,166.833333333333,-3.09999999999997,38.3566666666667,-0.030275
"4",45.3333333333333,6.87185929648241,488,728,64,"Sparsely or Non vegetated","Polar Moist",2794,137,0.733333333333348,39.6666666666667,-0.0151375
"6",45.2530120481928,6.87185929648241,562,801,61,"Sparsely or Non vegetated","Polar Moist",2774,120.583333333333,1.02500000000003,38.215,0.0475875
"11",42.8032128514056,0.0879396984924625,513,745,59,"Sparsely or Non vegetated","Polar Moist",2921,157.333333333333,1.76666666666671,44.4116666666667,0.0269416666666667
"13",45.0120481927711,6.53266331658292,541,818,64,"Sparsely or Non vegetated","Polar Moist",2546,117.666666666667,2.32500000000005,38.0808333333333,0.0552333333333333
"15",44.6907630522088,6.93969849246231,516,753,58,"Sparsely or Non vegetated","Polar Moist",2735,123.5,1.36666666666667,35.9366666666667,0.0693708333333333
"16",44.7710843373494,6.12562814070352,501,647,60,"Sparsely or Non vegetated","Polar Moist",2381,122.666666666667,3.59999999999997,34.67,0.0946583333333333
"17",44.4497991967871,6.66834170854271,512,644,59,"Sparsely or Non vegetated","Polar Moist",2412,125,3.23333333333335,36.3158333333333,0.07155
"18",45.3734939759036,6.80402010050251,539,849,57,"Sparsely or Non vegetated","Polar Moist",3012,150.416666666667,-1.04999999999995,41.61,-0.0254083333333333
"20",44.9317269076305,6.39698492462312,539,769,63,"Sparsely or Non vegetated","Polar Moist",2844,145,1.00833333333338,38.4675,0.0035
"21",44.85140562249,6.12562814070352,536,808,64,"Sparsely or Non vegetated","Polar Moist",2490,140.166666666667,2.97500000000002,34.8675,0.146245833333333
"23",45.9357429718875,7.00753768844221,549,1018,53,"Sparsely or Non vegetated","Polar Moist",2796,192.583333333333,-0.441666666666663,43.6083333333333,-0.058525
"25",44.9718875502008,6.39698492462312,0,0,0,"Sparsely or Non vegetated","Polar Moist",2655,147.916666666667,0.841666666666697,38.4666666666667,0.0218875
"29",45.574297188755,6.93969849246231,494,709,62,"Sparsely or Non vegetated","Polar Moist",2675,134.416666666667,1.35833333333341,39.9741666666667,0.100420833333333
"30",45.0923694779116,6.46482412060302,521,810,61,"Sparsely or Non vegetated","Polar Moist",2628,131.75,1.05833333333334,39.8825,0.0584166666666667
"36",45.4136546184739,6.87185929648241,516,655,56,"Sparsely or Non vegetated","Polar Moist",3430,155.5,-4.06666666666661,40.9725,-0.0464208333333333
"38",45.4136546184739,7.00753768844221,531,828,57,"Sparsely or Non vegetated","Polar Moist",2763,146.916666666667,0.433333333333337,40.4616666666667,0.0118041666666667
"39",42.5220883534137,2.46231155778895,504,624,61,"Sparsely or Non vegetated","Polar Moist",2513,77.3333333333333,5.00833333333338,38.6716666666667,0.1383375
"41",45.1726907630522,5.98994974874372,516,796,64,"Sparsely or Non vegetated","Polar Moist",2659,208.75,1.39166666666671,39.295,0.00304166666666666
"43",45.2530120481928,6.53266331658292,516,726,62,"Sparsely or Non vegetated","Polar Moist",3016,161.833333333333,-0.299999999999955,40.8408333333333,-0.000854166666666671
"45",44.3694779116466,6.80402010050251,525,724,56,"Sparsely or Non vegetated","Polar Moist",2614,126.166666666667,2.74166666666673,36.1016666666667,0.1044125
"46",44.85140562249,6.87185929648241,514,773,58,"Sparsely or Non vegetated","Polar Moist",3022,115.833333333333,0.47500000000008,37.36,-0.00887083333333333
"48",45.2530120481928,7.07537688442211,532,699,59,"Sparsely or Non vegetated","Polar Moist",3023,140.916666666667,0.666666666666686,40.5733333333333,0.00386666666666667
"51",45.3333333333333,6.60050251256281,502,759,55,"Sparsely or Non vegetated","Polar Moist",2502,151.75,2.51666666666671,39.4291666666667,0.0482791666666667
"57",45.1325301204819,6.12562814070352,520,892,57,"Sparsely or Non vegetated","Polar Moist",3090,205.666666666667,-2.30833333333322,39.5058333333333,-0.0390541666666667
"58",44.2489959839357,6.80402010050251,545,681,61,"Sparsely or Non vegetated","Polar Moist",2543,144.916666666667,2.13333333333338,36.4183333333333,0.0533583333333333
"59",44.570281124498,6.60050251256281,559,757,60,"Sparsely or Non vegetated","Polar Moist",2436,102.833333333333,3.07500000000005,35.415,0.0262166666666667
"60",45.4939759036145,6.73618090452261,505,793,59,"Sparsely or Non vegetated","Polar Moist",2622,148.25,1.72500000000008,38.5808333333333,0.130325
"61",45.2530120481928,7.00753768844221,526,678,59,"Sparsely or Non vegetated","Polar Moist",2813,130.5,-0.300000000000011,41.0716666666667,0.0553833333333333
"62",44.4497991967871,6.80402010050251,512,765,55,"Sparsely or Non vegetated","Polar Moist",2440,116.416666666667,3.28333333333336,36.03,0.189295833333333
"63",45.293172690763,6.60050251256281,520,716,58,"Sparsely or Non vegetated","Polar Moist",2632,163,0.800000000000068,41.1283333333333,0.0880583333333333
