"","species","latitude","longitude","date_obs","source","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","temp_mean","prec_mean","clouds_mean","fut_temp","ndvi_mean"
"2","Pinus mugo",46.78792,8.5846,2024-08-12,"gbif",683,855,54,"Sparsely or Non vegetated","Polar Moist",2665,0.316666666666663,212.166666666667,45.7925,-1.43333333333328,0.0757625
"3","Pinus cembra",46.62332,10.27903,2025-07-15,"gbif",556,568,60,"Sparsely or Non vegetated","Polar Moist",2572,1.09166666666664,100,41.9425,-0.84166666666664,0.080325
"4","Pinus cembra",45.98369,7.72898,2025-06-26,"gbif",491,460,65,"Sparsely or Non vegetated","Polar Moist",2257,3.52500000000009,132.083333333333,36.5833333333333,1.75000000000006,0.0742208333333333
"5","Amanita muscaria",46.92145,8.71875,2022-09-01,"gbif",682,966,52,"Sparsely or Non vegetated","Polar Moist",2211,3.25833333333338,211.583333333333,47.7766666666667,1.37500000000006,0.121095833333333
"7","Amanita muscaria",46.52342,7.73187,2025-10-02,"gbif",561,613,60,"Sparsely or Non vegetated","Polar Moist",2491,0.575000000000045,178.333333333333,43.1958333333333,-1.70833333333326,0.0834166666666667
"9","Pinus mugo",46.43373,7.60128,2025-06-27,"gbif",531,635,58,"Sparsely or Non vegetated","Polar Moist",2412,1.89166666666671,188,42.7941666666667,-0.691666666666663,0.0973458333333333
"10","Pinus mugo",46.67875,9.82425,2023-06-25,"gbif",619,856,55,"Sparsely or Non vegetated","Polar Moist",2715,0.625000000000057,144.666666666667,45.3225,-1.72499999999997,-0.00642916666666667
"12","Betula pendula",46.07298,7.92333,2025-07-12,"gbif",511,527,62,"Sparsely or Non vegetated","Polar Moist",2888,-1.25833333333333,179.916666666667,39.815,-3.04166666666669,-0.0185583333333333
"13","Pinus cembra",46.4824641081,9.9268317758,2024-08-29,"inat",575,588,63,"Sparsely or Non vegetated","Polar Moist",2346,3.10000000000002,110,41.4758333333333,1.35000000000002,0.208704166666667
"14","Betula pubescens",46.6801,9.75893,2023-09-12,"gbif",638,958,50,"Sparsely or Non vegetated","Polar Moist",2297,1.65000000000003,134.333333333333,44.1075,-0.724999999999909,0.114516666666667
"18","Pinus mugo",46.79976,10.41942,2024-11-04,"gbif",570,795,57,"Sparsely or Non vegetated","Polar Moist",2708,0.15833333333336,118.833333333333,41.1708333333333,-2.22499999999991,0.0230916666666667
"23","Pinus cembra",46.72371,9.82624,2024-01-14,"gbif",640,953,53,"Sparsely or Non vegetated","Polar Moist",2653,1.41666666666669,133.166666666667,40.4808333333333,-1.04166666666669,0.0780958333333334
"26","Betula pubescens",46.74528,8.32196,2025-06-25,"gbif",714,1186,54,"Sparsely or Non vegetated","Polar Moist",2211,3.75000000000006,201.166666666667,38.7641666666667,2.06666666666672,0.155108333333333
"28","Pinus mugo",46.75651,10.35154,2024-07-29,"gbif",549,787,56,"Sparsely or Non vegetated","Polar Moist",2879,-1.05833333333334,125.833333333333,41.1641666666667,-3.36666666666673,-0.005075
"29","Amanita muscaria",46.9346,10.42691,2024-07-28,"gbif",582,838,58,"Sparsely or Non vegetated","Polar Moist",2430,2.35833333333341,128.25,42.0833333333333,-0.349999999999966,0.0465833333333333
"33","Pinus mugo",46.62803,10.0833,2025-07-11,"gbif",524,741,57,"Sparsely or Non vegetated","Polar Moist",2694,-0.549999999999898,123.25,41.7533333333333,-2.57499999999999,-0.00281666666666667
"35","Betula pendula",46.1773032,7.5326267,2021-10-02,"inat",549,528,60,"Sparsely or Non vegetated","Polar Moist",2675,0.316666666666663,156.166666666667,41.9216666666667,-2.11666666666662,0.09245
"37","Abies alba",46.323,9.61378,2025-04-04,"gbif",582,581,61,"Sparsely or Non vegetated","Polar Moist",2373,3.25000000000011,129.25,41.2591666666667,1.32499999999999,0.0808166666666667
"38","Pinus cembra",46.02849,7.79379,2025-07-15,"gbif",501,553,61,"Sparsely or Non vegetated","Polar Moist",2859,-0.93333333333328,156.75,32.9708333333333,-2.73333333333323,0.0687708333333333
"41","Pinus cembra",46.197845,7.621997,2024-07-19,"gbif",531,565,61,"Sparsely or Non vegetated","Polar Moist",2488,1.60833333333341,133.333333333333,37.8691666666667,-0.716666666666697,0.124320833333333
"43","Betula pubescens",46.42173,9.09727,2024-08-11,"gbif",649,794,51,"Sparsely or Non vegetated","Polar Moist",2696,0.833333333333371,168.833333333333,41.1658333333333,-1.04166666666669,0.0780083333333334
"44","Pinus cembra",46.49612,9.94653,2025-07-18,"gbif",548,616,57,"Sparsely or Non vegetated","Polar Moist",2965,-1.7166666666667,133.333333333333,41.4758333333333,-3.48333333333335,-0.00805416666666667
"45","Pinus cembra",46.194138,7.624817,2024-07-19,"gbif",524,538,61,"Sparsely or Non vegetated","Polar Moist",2569,1.60833333333341,133.333333333333,37.8691666666667,-0.716666666666697,0.1304125
"48","Pinus cembra",46.35981,10.00523,2025-04-22,"gbif",577,615,61,"Sparsely or Non vegetated","Polar Moist",2803,0.233333333333405,131.666666666667,38.5033333333333,-1.5333333333333,0.01875
